Año,mes,empresa,cantidad
2020,2020-07-01,Personal,76580
2020,2020-06-01,Personal,81723
2020,2020-05-01,Personal,52346
2020,2020-04-01,Personal,40750
2020,2020-03-01,Personal,93260
2020,2020-02-01,Personal,105456
2020,2020-01-01,Personal,105975
2019,2019-12-01,Personal,118926
2019,2019-11-01,Personal,122121
2019,2019-10-01,Personal,179629
2019,2019-09-01,Personal,164917
2019,2019-08-01,Personal,112291
2019,2019-07-01,Personal,103843
2019,2019-06-01,Personal,88400
2019,2019-05-01,Personal,106434
2019,2019-04-01,Personal,92931
2019,2019-03-01,Personal,76189
2019,2019-02-01,Personal,76092
2019,2019-01-01,Personal,71114
2018,2018-12-01,Personal,57220
2018,2018-11-01,Personal,60961
2018,2018-10-01,Personal,63340
2018,2018-09-01,Personal,58889
2018,2018-08-01,Personal,55234
2018,2018-07-01,Personal,51810
2018,2018-06-01,Personal,54088
2018,2018-05-01,Personal,52440
2018,2018-04-01,Personal,36733
2018,2018-03-01,Personal,34699
2018,2018-02-01,Personal,27757
2018,2018-01-01,Personal,33082
2017,2017-12-01,Personal,34212
2017,2017-11-01,Personal,38124
2017,2017-10-01,Personal,35106
2017,2017-09-01,Personal,29727
2017,2017-08-01,Personal,32438
2017,2017-07-01,Personal,28801
2017,2017-06-01,Personal,27878
2017,2017-05-01,Personal,26815
2017,2017-04-01,Personal,22779
2017,2017-03-01,Personal,35054
2017,2017-02-01,Personal,28147
2017,2017-01-01,Personal,40045
2016,2016-12-01,Personal,49056
2016,2016-11-01,Personal,60749
2016,2016-10-01,Personal,63646
2016,2016-09-01,Personal,66049
2016,2016-08-01,Personal,61158
2016,2016-07-01,Personal,52424
2016,2016-06-01,Personal,52415
2016,2016-05-01,Personal,47523
2016,2016-04-01,Personal,43425
2016,2016-03-01,Personal,40567
2016,2016-02-01,Personal,34206
2016,2016-01-01,Personal,33697
2015,2015-12-01,Personal,39724
2015,2015-11-01,Personal,35672
2015,2015-10-01,Personal,36550
2015,2015-09-01,Personal,34797
2015,2015-08-01,Personal,32414
2015,2015-07-01,Personal,38991
2015,2015-06-01,Personal,43877
2015,2015-05-01,Personal,29633
2015,2015-04-01,Personal,30317
2015,2015-03-01,Personal,27141
2015,2015-02-01,Personal,23254
2015,2015-01-01,Personal,32142
2014,2014-12-01,Personal,34862
2014,2014-11-01,Personal,25707
2014,2014-10-01,Personal,39893
2014,2014-09-01,Personal,32561
2014,2014-08-01,Personal,27979
2014,2014-07-01,Personal,28078
2014,2014-06-01,Personal,24978
2014,2014-05-01,Personal,22177
2014,2014-04-01,Personal,20250
2014,2014-03-01,Personal,14253
2014,2014-02-01,Personal,11052
2014,2014-01-01,Personal,10790
2013,2013-12-01,Personal,13106
2013,2013-11-01,Personal,11438
2013,2013-10-01,Personal,12349
2013,2013-09-01,Personal,11604
2013,2013-08-01,Personal,7539
2013,2013-07-01,Personal,7831
2013,2013-06-01,Personal,6376
2013,2013-05-01,Personal,8169
2013,2013-04-01,Personal,8107
2013,2013-03-01,Personal,7424
2013,2013-02-01,Personal,6277
2013,2013-01-01,Personal,9208
2012,2012-12-01,Personal,8612
2012,2012-11-01,Personal,10914
2012,2012-10-01,Personal,13126
2012,2012-09-01,Personal,11975
2012,2012-08-01,Personal,12225
2012,2012-07-01,Personal,13494
2012,2012-06-01,Personal,10472
2012,2012-05-01,Personal,10770
2012,2012-04-01,Personal,4883
2012,2012-03-01,Personal,40
2020,2020-07-01,Claro,86328
2020,2020-06-01,Claro,86023
2020,2020-05-01,Claro,72532
2020,2020-04-01,Claro,52115
2020,2020-03-01,Claro,91794
2020,2020-02-01,Claro,105933
2020,2020-01-01,Claro,119695
2019,2019-12-01,Claro,115255
2019,2019-11-01,Claro,100593
2019,2019-10-01,Claro,95397
2019,2019-09-01,Claro,76641
2019,2019-08-01,Claro,86058
2019,2019-07-01,Claro,82485
2019,2019-06-01,Claro,67440
2019,2019-05-01,Claro,87637
2019,2019-04-01,Claro,76450
2019,2019-03-01,Claro,69313
2019,2019-02-01,Claro,71701
2019,2019-01-01,Claro,72971
2018,2018-12-01,Claro,57390
2018,2018-11-01,Claro,59247
2018,2018-10-01,Claro,59447
2018,2018-09-01,Claro,51444
2018,2018-08-01,Claro,51724
2018,2018-07-01,Claro,40638
2018,2018-06-01,Claro,38957
2018,2018-05-01,Claro,43353
2018,2018-04-01,Claro,39355
2018,2018-03-01,Claro,42155
2018,2018-02-01,Claro,32373
2018,2018-01-01,Claro,37392
2017,2017-12-01,Claro,31605
2017,2017-11-01,Claro,32483
2017,2017-10-01,Claro,31308
2017,2017-09-01,Claro,29254
2017,2017-08-01,Claro,33573
2017,2017-07-01,Claro,33225
2017,2017-06-01,Claro,30152
2017,2017-05-01,Claro,37117
2017,2017-04-01,Claro,35362
2017,2017-03-01,Claro,44484
2017,2017-02-01,Claro,36141
2017,2017-01-01,Claro,45136
2016,2016-12-01,Claro,49418
2016,2016-11-01,Claro,59173
2016,2016-10-01,Claro,66547
2016,2016-09-01,Claro,66661
2016,2016-08-01,Claro,64310
2016,2016-07-01,Claro,56027
2016,2016-06-01,Claro,56339
2016,2016-05-01,Claro,57266
2016,2016-04-01,Claro,54620
2016,2016-03-01,Claro,46820
2016,2016-02-01,Claro,43156
2016,2016-01-01,Claro,41738
2015,2015-12-01,Claro,49628
2015,2015-11-01,Claro,49509
2015,2015-10-01,Claro,62394
2015,2015-09-01,Claro,66242
2015,2015-08-01,Claro,56791
2015,2015-07-01,Claro,64814
2015,2015-06-01,Claro,67324
2015,2015-05-01,Claro,58549
2015,2015-04-01,Claro,59543
2015,2015-03-01,Claro,45272
2015,2015-02-01,Claro,40913
2015,2015-01-01,Claro,42240
2014,2014-12-01,Claro,41532
2014,2014-11-01,Claro,35730
2014,2014-10-01,Claro,41998
2014,2014-09-01,Claro,41094
2014,2014-08-01,Claro,39750
2014,2014-07-01,Claro,41544
2014,2014-06-01,Claro,38601
2014,2014-05-01,Claro,27152
2014,2014-04-01,Claro,21888
2014,2014-03-01,Claro,21314
2014,2014-02-01,Claro,16992
2014,2014-01-01,Claro,14575
2013,2013-12-01,Claro,14760
2013,2013-11-01,Claro,15022
2013,2013-10-01,Claro,15240
2013,2013-09-01,Claro,14897
2013,2013-08-01,Claro,13439
2013,2013-07-01,Claro,12628
2013,2013-06-01,Claro,9496
2013,2013-05-01,Claro,12169
2013,2013-04-01,Claro,11615
2013,2013-03-01,Claro,9224
2013,2013-02-01,Claro,8016
2013,2013-01-01,Claro,11356
2012,2012-12-01,Claro,10740
2012,2012-11-01,Claro,11456
2012,2012-10-01,Claro,13664
2012,2012-09-01,Claro,12780
2012,2012-08-01,Claro,10677
2012,2012-07-01,Claro,9651
2012,2012-06-01,Claro,10153
2012,2012-05-01,Claro,15663
2012,2012-04-01,Claro,2188
2012,2012-03-01,Claro,72
2020,2020-07-01,Movistar,90651
2020,2020-06-01,Movistar,81860
2020,2020-05-01,Movistar,61038
2020,2020-04-01,Movistar,38307
2020,2020-03-01,Movistar,74891
2020,2020-02-01,Movistar,99332
2020,2020-01-01,Movistar,93691
2019,2019-12-01,Movistar,81623
2019,2019-11-01,Movistar,90280
2019,2019-10-01,Movistar,102656
2019,2019-09-01,Movistar,111005
2019,2019-08-01,Movistar,124810
2019,2019-07-01,Movistar,143327
2019,2019-06-01,Movistar,129752
2019,2019-05-01,Movistar,137443
2019,2019-04-01,Movistar,102819
2019,2019-03-01,Movistar,73611
2019,2019-02-01,Movistar,66692
2019,2019-01-01,Movistar,59687
2018,2018-12-01,Movistar,55891
2018,2018-11-01,Movistar,54266
2018,2018-10-01,Movistar,48759
2018,2018-09-01,Movistar,43296
2018,2018-08-01,Movistar,42499
2018,2018-07-01,Movistar,39969
2018,2018-06-01,Movistar,38406
2018,2018-05-01,Movistar,43987
2018,2018-04-01,Movistar,40674
2018,2018-03-01,Movistar,38111
2018,2018-02-01,Movistar,31010
2018,2018-01-01,Movistar,35985
2017,2017-12-01,Movistar,36796
2017,2017-11-01,Movistar,43126
2017,2017-10-01,Movistar,44360
2017,2017-09-01,Movistar,45112
2017,2017-08-01,Movistar,48605
2017,2017-07-01,Movistar,48663
2017,2017-06-01,Movistar,46635
2017,2017-05-01,Movistar,46360
2017,2017-04-01,Movistar,42091
2017,2017-03-01,Movistar,45757
2017,2017-02-01,Movistar,33437
2017,2017-01-01,Movistar,32769
2016,2016-12-01,Movistar,41295
2016,2016-11-01,Movistar,53090
2016,2016-10-01,Movistar,48557
2016,2016-09-01,Movistar,44350
2016,2016-08-01,Movistar,55470
2016,2016-07-01,Movistar,45767
2016,2016-06-01,Movistar,45423
2016,2016-05-01,Movistar,43505
2016,2016-04-01,Movistar,45207
2016,2016-03-01,Movistar,40978
2016,2016-02-01,Movistar,29873
2016,2016-01-01,Movistar,27419
2015,2015-12-01,Movistar,27740
2015,2015-11-01,Movistar,31906
2015,2015-10-01,Movistar,28987
2015,2015-09-01,Movistar,23639
2015,2015-08-01,Movistar,17030
2015,2015-07-01,Movistar,18966
2015,2015-06-01,Movistar,16170
2015,2015-05-01,Movistar,12651
2015,2015-04-01,Movistar,13426
2015,2015-03-01,Movistar,11898
2015,2015-02-01,Movistar,9631
2015,2015-01-01,Movistar,10161
2014,2014-12-01,Movistar,13603
2014,2014-11-01,Movistar,12571
2014,2014-10-01,Movistar,15247
2014,2014-09-01,Movistar,15167
2014,2014-08-01,Movistar,12412
2014,2014-07-01,Movistar,15936
2014,2014-06-01,Movistar,10941
2014,2014-05-01,Movistar,9035
2014,2014-04-01,Movistar,5750
2014,2014-03-01,Movistar,5635
2014,2014-02-01,Movistar,4948
2014,2014-01-01,Movistar,4724
2013,2013-12-01,Movistar,5274
2013,2013-11-01,Movistar,6625
2013,2013-10-01,Movistar,6799
2013,2013-09-01,Movistar,6972
2013,2013-08-01,Movistar,7351
2013,2013-07-01,Movistar,6420
2013,2013-06-01,Movistar,5936
2013,2013-05-01,Movistar,8227
2013,2013-04-01,Movistar,7560
2013,2013-03-01,Movistar,7368
2013,2013-02-01,Movistar,5836
2013,2013-01-01,Movistar,6720
2012,2012-12-01,Movistar,7165
2012,2012-11-01,Movistar,7671
2012,2012-10-01,Movistar,8452
2012,2012-09-01,Movistar,8232
2012,2012-08-01,Movistar,10017
2012,2012-07-01,Movistar,10173
2012,2012-06-01,Movistar,9523
2012,2012-05-01,Movistar,7890
2012,2012-04-01,Movistar,937
2012,2012-03-01,Movistar,41
